,tname,S,T,C,V,L,I,M,P,G,A,F,Y,W,D,E,N,Q,H,K,R,B,J,Z
0,Bacteria,7.754564604294081,8.697338938112491,0.6218146252552432,8.08340093017772,7.617694686380183,5.554269893338055,1.2923228771819275,4.315778866010076,9.134964194749811,10.037220253123213,2.785833082230889,3.183049599188718,0.844849359444801,7.221941965561557,4.7442130761407,5.910629569757454,3.001658371489951,1.081904671620737,4.994143819663502,3.122376742888291,1.9915593730650756e-05,9.957796865325378e-06,0.0
1,Proteobacteria,8.182146965323406,11.593871126997259,0.7972887073126323,8.877999992191794,6.828807591278803,4.6846035330707645,0.8543595870027461,4.1047023494533725,11.209317034060454,9.794718743134547,2.176714584200665,2.482050888910894,0.6969887657676939,8.532806350484055,3.837484281551093,6.599388333619043,2.882931228525218,0.8546790135681758,2.8077595101274193,2.2013459215793585,3.54918406033045e-05,0.0,0.0
2,Betaproteobacteria,7.060883758097149,8.511144737065814,0.42334699151605826,8.018090007990887,7.5182345240321675,4.493598789465631,1.220735501640682,3.7489161296903957,10.544570447319652,11.051226686162163,2.363262322117755,2.363262322117755,1.283642484315759,6.6341363891391945,3.8237244334121088,6.60353299216213,3.390176309570362,1.4927656969923662,4.435792372953398,5.01895710423857,0.0,0.0,0.0
3,Burkholderiales,6.526844721175379,7.504505980665247,0.5980665246600033,7.703861488885248,8.392047626850182,4.377628488721394,1.2507509967775412,5.011196679228795,10.268174122016495,12.073297285488012,2.512425583046589,2.531541864656726,1.2507509967775412,6.638811513463324,3.45458517668906,5.39898410617729,3.8314490141460484,1.8597411109290514,2.4878475066906987,6.327489212955377,0.0,0.0,0.0
4,Firmicutes,7.667801898354004,7.115764290880018,0.3230351881136571,7.460441569056224,8.115713354507529,7.097549256293752,1.7151708469310367,3.5025445886911393,7.235711232549892,8.420064048380635,3.130239609860249,3.8011209288165366,0.7300332353962251,6.349535716138403,5.709779572261225,6.548962177278763,3.0634120280727486,1.1737665006266114,7.848356081392098,2.9909978763992537,0.0,0.0,0.0
5,Bacilli,6.71709945594416,6.862498082017734,0.2610720657419208,7.436165869937305,9.038664823893841,6.296587152264861,2.1441201599611364,4.0751815076501305,7.301808027385673,9.203483905085498,3.739485069180417,3.6502528905620553,0.9346730993857361,6.152151056036789,5.663412372132156,4.964049510270477,3.961999321699556,1.8347517437360539,6.039535064112981,3.723008823001519,0.0,0.0,0.0
6,Bacillales,7.758147320833578,6.958075883503841,0.09689354238526045,7.858106271024699,7.938206709777851,6.088166459640575,1.605740575870176,4.101515644242098,7.907152795918476,9.19489063158063,3.2370706429892793,4.050469940344499,0.7462268828267858,6.394174125825661,6.8022731998059465,5.603698747714272,3.0212925891767113,1.3960933376693305,6.242769635936176,2.999035062934155,0.0,0.0,0.0
7,Bacillaceae,7.524229437095962,6.7823581605840415,0.09558166065427189,7.948865524482951,8.03999355937197,6.13829535760902,1.6007358760110586,4.043207021654899,7.877264925641579,9.015851481858327,3.313326276049428,4.1459830008530405,0.7418712765119203,6.463581331771138,7.014631873571842,5.644970657457939,2.9573788014265308,1.3465366207943212,6.322264360373693,2.983072796226066,0.0,0.0,0.0
8,Bacillus,7.687791613880048,6.702407069801934,0.10011432809072089,7.937150449587492,8.091338874640794,6.17680684732565,1.6889657942712357,4.0119889997837035,7.952600191576801,8.958069400241016,3.4023421808855794,4.15041868800791,0.7261378734975126,6.2747582115378675,6.758026140963446,5.702190773414084,2.8467694589500354,1.3669931712140406,6.572938231931527,2.8921917003986035,0.0,0.0,0.0
9,Eukaryota,8.410860305877165,6.992177106962217,4.34788630160448,5.664407321638208,7.298971407362109,4.186602705151088,1.5175523056044857,6.883167184504834,8.059640307265179,6.3145428684905465,3.1148154240730657,3.4258106997455253,1.0724489731539215,5.418027046586661,6.065054179501057,4.9122019250315185,4.117078872618274,2.8558014468281945,4.745409357341574,4.5972826614671005,0.0001077173146812083,0.0001077173146812083,4.6164563434803554e-05
10,Clostridia,8.496475918970141,7.37745731209664,0.3763439631108845,7.489752388442203,7.530537082294093,7.780869143772904,1.4063860966258896,3.0232340158978004,7.347097405462497,7.979397328419662,2.626543428611926,3.9176167473292196,0.5844739254581991,6.522579037490369,5.572231658889989,7.697379400529012,2.3568249207281804,0.6648087988861938,8.827005685624082,2.422985741360115,0.0,0.0,0.0
11,Clostridiales,8.502596989415974,7.375570172355751,0.3771553717357286,7.485396558804053,7.533858896908399,7.786205250949825,1.4051765915808712,3.0221446989231002,7.340102029869078,7.962436138846448,2.628526929892384,3.9186517111644648,0.5833515221243522,6.514207603777843,5.572521484353324,7.715453936732603,2.3564811903238096,0.6664496343128151,8.83249233296216,2.4212209549670196,0.0,0.0,0.0
12,Peptostreptococcaceae,8.387765302236105,6.998477696712809,0.34918046099140715,7.2065220001990085,7.258447296396224,8.219637140540275,1.5275644405506827,2.737057848668642,6.806674344900627,7.191424777516118,2.26309655474516,3.7374775972083865,0.5354939136461737,6.728786400604804,6.192949368261292,8.294093897862714,2.0923378163697355,0.6022876867280544,10.337823232109505,2.5329022237522776,0.0,0.0,0.0
13,Bacteroidetes,7.540424686781086,7.876731599940418,1.761970175932209,6.2418695486668545,6.8595355919299585,6.330414921964218,1.0627099849390114,4.3870508598004,8.351897519074495,6.072723059863293,3.9911620132073287,4.079210870392744,1.0357326095231791,9.627943926780423,5.063802320385297,8.507472567484815,3.3349332185829432,0.9437116234421807,4.4431571804505055,2.487545720858642,0.0,0.0,0.0
14,Flavobacteriia,7.6700069447517105,7.996083236985323,1.7027146091797691,6.177173890042073,6.768343474722835,6.632911197594538,1.0638359268742654,4.152807622682598,8.127475630847009,5.745098755908329,4.049117285506245,4.197053963221673,1.040173753455543,9.460444733435036,5.150081663354603,8.978351996952775,3.3232849252717784,0.940908050333098,4.536788908404304,2.287343430476495,0.0,0.0,0.0
15,Flavobacteriales,7.6700069447517105,7.996083236985323,1.7027146091797691,6.177173890042073,6.768343474722835,6.632911197594538,1.0638359268742654,4.152807622682598,8.127475630847009,5.745098755908329,4.049117285506245,4.197053963221673,1.040173753455543,9.460444733435036,5.150081663354603,8.978351996952775,3.3232849252717784,0.940908050333098,4.536788908404304,2.287343430476495,0.0,0.0,0.0
16,Flavobacteriaceae,7.763363333905551,8.143683939475684,1.634704204167382,6.266400176570126,6.732757845517489,6.610548430079048,1.0426629390751323,4.084001602210396,8.18700901652075,5.80617341475178,4.010226353091204,4.2045761090811,1.0304011248170946,9.466324970776009,5.122372906295215,9.057802192412389,3.348088383157172,0.9390506085947143,4.268541906793862,2.281310542707899,0.0,0.0,0.0
17,Actinobacteria,7.441062428391627,8.303640777015161,0.6404214425481054,8.748041420084947,7.869790090595039,3.5640618982888665,1.1038380568629638,6.043258295500379,10.305093458288814,14.377159647761694,2.5652024224089764,2.6699639260947317,1.1894099274657919,6.5674565530643285,3.98098055551817,3.2157396670121092,2.9620631373660795,1.2207558891985375,2.5706727703013943,4.661300805313358,4.341545946363673e-05,4.341545946363673e-05,0.0
18,Propionibacteriales,6.1167128154223915,10.842693694164359,1.2611671281542238,7.48759207982864,6.390470717308395,3.8294759939397105,1.2057886212841544,6.303745885794891,9.202236037824566,10.459223656026332,1.9654145551434095,2.655033697298992,1.4513348309910663,8.999529805130349,3.036413980460791,3.4303327934799643,3.9203803354056737,2.6498093098584192,2.5975654354526934,6.192988872054752,0.0010448774881145185,0.0010448774881145185,0.0
19,Propionibacteriaceae,5.790245303266176,11.448997173646902,0.9098740988165591,6.607922857186041,6.624548463642822,4.5448362377764004,1.3285370977736801,5.942898598914802,8.341520184997657,9.942112661155026,2.0237897314208846,2.833910191496758,1.573386938319,8.708794945815637,3.1104998261868415,3.5941538322022883,4.534256306394813,3.1754908332451675,2.8203074225775735,6.1408944576273745,0.001511418768798271,0.001511418768798271,0.0
20,Cutibacterium,5.622512162759841,12.31203007518797,0.9453781512605042,6.4112487100103195,6.344906383606074,4.736104968303111,1.3729175880878668,5.847338935574229,7.87999410290432,9.241854636591478,1.8649565089193572,2.8287630841810407,1.6419725785050863,9.164455255786525,2.7753206545776203,3.613813946631284,4.804290137107475,3.5050862450243256,2.7753206545776203,6.308049535603715,0.001842842400117942,0.001842842400117942,0.0
21,Gammaproteobacteria,8.364645518165053,12.390101278083804,0.5393611033050122,9.13352016721091,6.897663608479103,4.871162353286861,0.7622121791657733,4.008714168938028,11.20542017549629,9.42094595114018,2.156248585292854,2.478438795391279,0.6745323672182565,8.383180851036569,3.7922266059755523,6.71474464375859,2.724352266990793,0.8293920837899545,2.905434781680258,1.7476598074546206,4.2708140256949255e-05,0.0,0.0
22,Metazoa,8.529257933663947,7.256718430477019,4.566304556369591,5.636563121047836,7.4072907528868095,4.090488098379197,1.5220475244117582,6.928864566621323,8.372602244654287,6.376592069233752,3.1354355384517363,3.2976346502802127,1.0996675026196272,5.278886362351952,5.697936730827586,4.522713095112537,4.302811991215474,2.9894347400548655,4.366057406102876,4.622386717095016,0.00012598688224582056,0.00012598688224582056,5.3994378105351673e-05
23,Ecdysozoa,8.936523090431425,7.68403472217383,2.2139218542031065,5.231787002645742,4.954437019021935,3.5618799404417625,1.0492377521178715,12.154851417992441,5.348627071123778,6.980903733539604,2.720073959995633,6.3774236184184545,0.41695412110949287,4.332606276843599,5.911689349435428,4.489167322875799,4.618550857949886,2.4956852797773768,6.256866967245292,4.264778642657542,0.0,0.0,0.0
24,Arthropoda,8.933931632597721,7.6908022099030635,2.199999528403102,5.216804883857474,4.935497334298535,3.5464086717237575,1.0313824155664704,12.222376801205401,5.284714837145801,6.989066025923681,2.7003638370066803,6.375990058737393,0.40415854144511437,4.328787925233028,5.940941920484047,4.509409537104065,4.652303397148254,2.4883810314295753,6.301006151981532,4.247673258805303,0.0,0.0,0.0
25,Hexapoda,8.853203002269156,7.758189329144121,1.4495451988906345,5.26095304590679,4.67834215783247,3.603110878377068,1.0434242935552065,12.203021663660518,5.3078877446131765,7.232210391575028,2.572874847268284,6.160858012839161,0.4193091677818506,4.518919338259537,6.341614786369543,4.834661856829775,4.9087488605729135,2.442155893019918,5.991350051395434,4.4196194798394135,0.0,0.0,0.0
26,Insecta,8.857916932082988,7.577467968617712,1.39414122029689,5.288302598795346,4.7016989332279735,3.620413001233682,1.0554834339899533,12.155395544231126,5.341117086897976,7.273079124972787,2.5814592925277577,6.050282617985954,0.4144526241946799,4.530354219917916,6.420790362766995,4.850063296752917,4.891589191978649,2.4750239882598635,6.072456639708432,4.448511921560406,0.0,0.0,0.0
27,Pterygota,8.857916932082988,7.577467968617712,1.39414122029689,5.288302598795346,4.7016989332279735,3.620413001233682,1.0554834339899533,12.155395544231126,5.341117086897976,7.273079124972787,2.5814592925277577,6.050282617985954,0.4144526241946799,4.530354219917916,6.420790362766995,4.850063296752917,4.891589191978649,2.4750239882598635,6.072456639708432,4.448511921560406,0.0,0.0,0.0
28,Neoptera,8.857916932082988,7.577467968617712,1.39414122029689,5.288302598795346,4.7016989332279735,3.620413001233682,1.0554834339899533,12.155395544231126,5.341117086897976,7.273079124972787,2.5814592925277577,6.050282617985954,0.4144526241946799,4.530354219917916,6.420790362766995,4.850063296752917,4.891589191978649,2.4750239882598635,6.072456639708432,4.448511921560406,0.0,0.0,0.0
29,Alphaproteobacteria,8.610947649871738,8.550387641187662,0.7341472750852697,8.569812549633498,6.213685419320928,4.114081344660721,1.6911096764610103,3.1062713888238216,11.37156993252701,14.44698999617215,1.9859112281684026,3.2028246102163593,0.43877440254123506,5.011626379025669,3.3679363320059648,6.898699102454966,4.547713859672176,0.7524295418578211,1.4637239834774014,4.921357686836196,0.0,0.0,0.0
30,Holometabola,8.497032105729184,8.100219722559276,1.3177887821248593,5.284819466762864,4.794543009871118,3.710687698816122,0.9718077372948983,12.184763716262749,5.4236491435192775,6.401469189650084,2.543206637588955,5.1908088195104884,0.3853343390286295,4.809300495195619,6.951322161370369,5.0016943779446645,4.806567627542933,2.537740902283584,6.459405983887012,4.627838083057314,0.0,0.0,0.0
31,Pseudomonadales,8.701596795219686,15.588405610603527,0.07476235502117684,10.66933638443936,6.525935333710059,4.876198016035091,0.42465577145798483,3.8754734716028936,12.235779067100088,10.28405498704772,1.4187363273709948,2.130272529415385,0.30926018138788025,6.172754891374285,3.107008778457252,6.6821040322716,2.2371358394924274,0.5950216244342119,2.941608432690102,1.1498995708682784,0.0,0.0,0.0
32,Crustacea,9.310113212689945,8.031968226464318,1.1233658142455245,5.358863784594118,6.305060986887576,3.4927526356264664,0.9831884509427901,13.681894730693974,4.190719090404665,7.207452763148929,2.7480603930806895,7.3427628568925405,0.4507091611747642,3.606646743309938,5.124261391844403,3.027441665774334,4.486649079599326,2.9213351893854584,6.140547275789228,4.466206547451011,0.0,0.0,0.0
33,Multicrustacea,9.305560425944758,8.34589893747589,1.2974716835571765,5.517176888639525,7.115054178209489,3.8316325934238056,0.9538170214258161,13.25057568000374,4.088789143318021,6.566843169571367,2.9000245467615806,6.155392689740623,0.49327301843344906,3.3558929761195078,5.148975464927354,3.0449673294292294,4.5446575726759475,3.331346214538696,5.752124463770149,5.000526002033874,0.0,0.0,0.0
34,Actinomycetales,6.7600585240691045,7.684527398922254,0.6251216248357314,8.595302218196757,7.583383584911553,3.809349916754557,1.260333606413623,5.567234209192315,9.82752697368579,13.316868433760412,2.417601426103753,2.751063691773236,1.0662143624215896,5.911027078193057,3.9998654619101046,4.611773524345388,3.4523434853533668,1.138768832329503,5.856971595645771,3.7646640511821334,0.0,0.0,0.0
35,Actinomycetaceae,6.7600585240691045,7.684527398922254,0.6251216248357314,8.595302218196757,7.583383584911553,3.809349916754557,1.260333606413623,5.567234209192315,9.82752697368579,13.316868433760412,2.417601426103753,2.751063691773236,1.0662143624215896,5.911027078193057,3.9998654619101046,4.611773524345388,3.4523434853533668,1.138768832329503,5.856971595645771,3.7646640511821334,0.0,0.0,0.0
36,Chordata,8.391025858188911,7.208621493480201,4.771581158319097,5.700045653923898,7.7054305584458955,4.162754625484569,1.5770567254037469,6.4216962610565576,8.6423442563976,6.344665347058548,3.194141294861433,2.8948903095916796,1.159496742116632,5.402165899583952,5.753039696328812,4.514152716408472,4.307721965990247,3.0335056244666316,4.1390403964631926,4.676300773858208,0.00014115612512724217,0.00012099096439477899,6.0495482197389496e-05
37,Craniata,8.392249732372724,7.199289911123695,4.770182087595817,5.70389156431957,7.711020342502283,4.16419350164396,1.5748225636722524,6.423175865223773,8.643416187140431,6.342377387096859,3.1947330224673527,2.8919509315975604,1.1596541954478403,5.401453038764474,5.7542137780604445,4.512386843226903,4.3092791130679515,3.0358239595579164,4.139497218434583,4.676065401093306,0.00014146807075747866,0.00012125834636355314,6.062917318177657e-05
38,Vertebrata,8.392249732372724,7.199289911123695,4.770182087595817,5.70389156431957,7.711020342502283,4.16419350164396,1.5748225636722524,6.423175865223773,8.643416187140431,6.342377387096859,3.1947330224673527,2.8919509315975604,1.1596541954478403,5.401453038764474,5.7542137780604445,4.512386843226903,4.3092791130679515,3.0358239595579164,4.139497218434583,4.676065401093306,0.00014146807075747866,0.00012125834636355314,6.062917318177657e-05
39,Euteleostomi,8.396656126557566,7.200251323902197,4.770732852954222,5.704638844591496,7.712776044078221,4.160067690336989,1.5750537095322783,6.418027987569283,8.649561957771013,6.342460455323789,3.1962064530940806,2.891015839774117,1.1609736489160034,5.403220523541436,5.753273021275525,4.510566373178272,4.311263598251685,3.0369589321086767,4.132972085645637,4.673018314478971,0.0001216868474162536,0.0001216868474162536,6.08434237081268e-05
40,Archelosauria,7.8586491889817776,7.2975608948867015,5.467430505207003,5.386033917658095,7.3035596268788705,4.87603827191011,1.5324691711717489,5.597540933588865,8.827858111371631,6.010832882566548,3.2492442114821936,3.042805089820669,0.900120078066257,5.59836834489813,6.295876078608211,5.160460909469826,3.847669440907836,2.8545690169629663,4.9120306638631215,3.980882661699441,0.0,0.0,0.0
41,Archosauria,7.883233268636166,7.305659148725909,5.446026397819939,5.396271104441405,7.31494527490946,4.817779836266106,1.523497911768044,5.614208460922032,8.827322763963869,6.087800896283142,3.269633564875056,3.0177617225878715,0.8999517350725521,5.5995340886813585,6.340704530368499,5.091204662781779,3.875409993935357,2.852216460747774,4.836696019232599,4.000142157981082,0.0,0.0,0.0
42,Dinosauria,7.806383866701223,7.28804299552353,5.495629997091937,5.4119167296341315,7.343770722988174,4.808037447086036,1.510367425804858,5.577883149419665,8.888450854349866,6.155115330843837,3.2757682943300077,3.023655081869872,0.8967540423895758,5.583966962461656,6.337508045842748,5.065747767544805,3.886704800006814,2.8424791294793597,4.772507978920805,4.029309377711099,0.0,0.0,0.0
43,Saurischia,7.806383866701223,7.28804299552353,5.495629997091937,5.4119167296341315,7.343770722988174,4.808037447086036,1.510367425804858,5.577883149419665,8.888450854349866,6.155115330843837,3.2757682943300077,3.023655081869872,0.8967540423895758,5.583966962461656,6.337508045842748,5.065747767544805,3.886704800006814,2.8424791294793597,4.772507978920805,4.029309377711099,0.0,0.0,0.0
44,Theropoda,7.806383866701223,7.28804299552353,5.495629997091937,5.4119167296341315,7.343770722988174,4.808037447086036,1.510367425804858,5.577883149419665,8.888450854349866,6.155115330843837,3.2757682943300077,3.023655081869872,0.8967540423895758,5.583966962461656,6.337508045842748,5.065747767544805,3.886704800006814,2.8424791294793597,4.772507978920805,4.029309377711099,0.0,0.0,0.0
45,Coelurosauria,7.806383866701223,7.28804299552353,5.495629997091937,5.4119167296341315,7.343770722988174,4.808037447086036,1.510367425804858,5.577883149419665,8.888450854349866,6.155115330843837,3.2757682943300077,3.023655081869872,0.8967540423895758,5.583966962461656,6.337508045842748,5.065747767544805,3.886704800006814,2.8424791294793597,4.772507978920805,4.029309377711099,0.0,0.0,0.0
46,Aves,7.806383866701223,7.28804299552353,5.495629997091937,5.4119167296341315,7.343770722988174,4.808037447086036,1.510367425804858,5.577883149419665,8.888450854349866,6.155115330843837,3.2757682943300077,3.023655081869872,0.8967540423895758,5.583966962461656,6.337508045842748,5.065747767544805,3.886704800006814,2.8424791294793597,4.772507978920805,4.029309377711099,0.0,0.0,0.0
47,Neognathae,7.838383558991522,7.308144439680805,5.4409669879818,5.406253889664901,7.344793726748447,4.799673613896303,1.4986100930753592,5.558383005794736,8.849765582861963,6.209772221223394,3.253073699641805,3.043688716168559,0.90765762650919,5.58438325473329,6.364667321282863,5.073644322126489,3.88095205166858,2.824207891352151,4.78280111192554,4.0301768846723,0.0,0.0,0.0
48,Coriobacteriia,9.685682871813473,6.591251714405541,1.127823810117543,7.6601339786676945,7.436836199177085,4.669984017773143,1.4111966267299911,3.4616823277376647,10.62761411423325,13.097491583827347,2.9572787141675074,3.59770127971164,1.3046484476837106,6.515307799553405,5.01343187150743,3.8380014281989956,2.67050542375571,1.0416784738673588,3.781326864876506,3.510422452195006,0.0,0.0,0.0
49,Lepidosauria,8.338565662331309,8.679414522770823,3.2922901292453215,5.310881885269295,9.440208749541322,6.2151914216985364,2.4593305336975577,5.564072246911567,6.55196314265911,5.902067109715824,2.8421739307701714,2.687650344518286,1.359726016227015,4.638153871243936,5.6443918946467155,5.122518041342194,3.75015289273046,3.2449953112895993,5.6028050719615115,3.3489623680026095,0.0016308557915766298,0.002446283687364945,0.00040771394789415746
50,Squamata,8.338565662331309,8.679414522770823,3.2922901292453215,5.310881885269295,9.440208749541322,6.2151914216985364,2.4593305336975577,5.564072246911567,6.55196314265911,5.902067109715824,2.8421739307701714,2.687650344518286,1.359726016227015,4.638153871243936,5.6443918946467155,5.122518041342194,3.75015289273046,3.2449953112895993,5.6028050719615115,3.3489623680026095,0.0016308557915766298,0.002446283687364945,0.00040771394789415746
51,Bifurcata,8.338565662331309,8.679414522770823,3.2922901292453215,5.310881885269295,9.440208749541322,6.2151914216985364,2.4593305336975577,5.564072246911567,6.55196314265911,5.902067109715824,2.8421739307701714,2.687650344518286,1.359726016227015,4.638153871243936,5.6443918946467155,5.122518041342194,3.75015289273046,3.2449953112895993,5.6028050719615115,3.3489623680026095,0.0016308557915766298,0.002446283687364945,0.00040771394789415746
52,Gekkota,8.254430007971916,9.913847358778199,2.724437420455658,5.005524398260164,11.477461853680369,6.9859162808911766,3.2712829191200123,5.560062097033608,5.418106040474958,6.364246653892953,2.784576439490357,2.363603306247465,1.6398372050740548,3.2614928462538986,4.484552663599111,4.766366903959385,3.610439014838953,3.1293268625613626,5.887330247129411,3.0894672801778995,0.002797163676032503,0.004195745514048755,0.0006992909190081258
53,Gekkonidae,8.569446050653406,8.669673489842335,3.2988319648432984,5.539493465941945,9.946609614124359,6.95906094599283,2.801549670405921,5.428665047608034,5.736093442812536,5.853667938784164,2.7620369299564396,2.4690644154041865,1.3511429782969044,3.8346632743533404,5.014263135576886,5.108708222504915,3.7170887783817124,3.238117266103851,6.2526502447862455,3.442427045988975,0.002891176130449867,0.0038549015072664892,0.0
54,Lactobacillales,5.948196178451791,6.791905665187804,0.38233200869007977,7.124526637732547,9.851447673966478,6.450523737758042,2.5417597313044666,4.055731485592167,6.854708914813003,9.209830775757945,4.110561281895044,3.354658219399904,1.073856818434624,5.9733962284581406,4.822265819183735,4.4916136005457385,4.65679205332173,2.158738658747026,5.889428874335422,4.2577256364243095,0.0,0.0,0.0
55,Viridiplantae,10.62244032025975,4.661845552152898,1.5588680219901856,6.226248016824706,5.527063424713131,3.674869940596982,1.2987492159539535,14.935615983470464,4.340847876618825,5.0086706268678745,2.4812751355938456,7.735306054680294,0.5792716673430985,4.5696048407925325,5.894181455927388,3.7136110393683355,2.4978784636387115,2.021916393019223,9.759067261926724,2.8926687082610782,0.0,0.0,0.0
56,Streptophyta,10.68246498391027,4.696713230780677,1.5661911050761705,6.244303491378509,5.500269712244936,3.701568051189524,1.2871784379010807,15.038782760737337,4.356317776827068,4.867840999981399,2.4962333289931364,7.797474005319842,0.5803463477241867,4.588828332806309,5.825784490615874,3.7424899090418706,2.4106694443927754,2.0051710347649783,9.81194546232399,2.799427093990067,0.0,0.0,0.0
57,Embryophyta,10.68246498391027,4.696713230780677,1.5661911050761705,6.244303491378509,5.500269712244936,3.701568051189524,1.2871784379010807,15.038782760737337,4.356317776827068,4.867840999981399,2.4962333289931364,7.797474005319842,0.5803463477241867,4.588828332806309,5.825784490615874,3.7424899090418706,2.4106694443927754,2.0051710347649783,9.81194546232399,2.799427093990067,0.0,0.0,0.0
58,Tracheophyta,10.68246498391027,4.696713230780677,1.5661911050761705,6.244303491378509,5.500269712244936,3.701568051189524,1.2871784379010807,15.038782760737337,4.356317776827068,4.867840999981399,2.4962333289931364,7.797474005319842,0.5803463477241867,4.588828332806309,5.825784490615874,3.7424899090418706,2.4106694443927754,2.0051710347649783,9.81194546232399,2.799427093990067,0.0,0.0,0.0
59,Spermatophyta,10.738582057384884,4.71523079517982,1.5704941996664106,6.238872542588879,5.517344777825671,3.7219588073239755,1.2950017803931857,15.08648962686707,4.355403961843363,4.844543563410109,2.4962986562716694,7.760640191907645,0.5847186041717424,4.550310163233943,5.787214902828014,3.7556925729492683,2.4194606345696132,2.0127813489758055,9.74156187334845,2.807398939260481,0.0,0.0,0.0
60,Mammalia,8.386185286567084,7.382436976627947,4.74059540368253,5.748434693780009,7.806440741949882,3.902349518763017,1.5043870699103954,6.384075798976526,8.993473063933514,6.768870962384855,3.1739930315621145,2.492460040034899,1.2581586700831076,5.456516931392238,5.658514139804589,4.382978930237042,4.344134871109822,3.1039603118217984,3.537604208605964,4.974388844018622,4.050475404298202e-05,0.0,0.0
61,Eutheria,8.381234751324873,7.366779274374665,4.756148569860195,5.754251139567543,7.819483626138027,3.8958130805179354,1.5001121694391282,6.379441683807088,9.004658524178883,6.78863415423832,3.1743129519134134,2.4879428124863896,1.258023401914194,5.445518111871964,5.648244856435444,4.375142266184242,4.345024977216867,3.108613708995496,3.5300503160055516,4.980528535823138,4.108770664034862e-05,0.0,0.0
62,Gekkoninae,8.583372865275143,8.635752688172044,3.3246363061353574,5.5492963314358,9.896821631878558,6.947738772928526,2.775142314990512,5.434653700189753,5.752885831752056,5.85171568627451,2.762294433902593,2.4746995572422517,1.3421094244149272,3.851399430740038,5.034392789373814,5.111480075901328,3.7199557242251737,3.241619228336496,6.254941492726123,3.448173624288425,0.0029648956356736244,0.0039531941808981655,0.0
63,Cellvibrionales,7.878647410947628,6.06922787976631,2.282553966896574,6.497606355346339,6.987524276112305,4.343725773838543,1.0717454025239164,5.024655738753067,10.406559945014106,8.892849436154824,2.9171295445281844,2.280955539748887,0.945469657856669,14.400230173509266,4.211056320580549,6.755752339697738,3.563693325767445,1.10611158619918,1.4897341016439822,2.8747712251144875,0.0,0.0,0.0
64,Micrococcales,7.790783007738112,8.307369320662524,0.6213713086048175,9.064366598853681,8.002861150591274,3.4535388159667066,1.0103205789185223,6.384917649026002,10.381053237837788,15.043706862116695,2.6633782013766965,2.72831145667865,1.1629462419530139,6.226718316008509,3.904913190090015,2.772157660544919,2.741874053637284,1.0941114176629603,1.7511542141589795,4.894146717572853,0.0,0.0,0.0
